No,デフォ,種別,楽曲名,ﾕﾆｯﾄ,E,N,H,X,M,A,コンボ(EXP),コンボ(MAS),コンボ(APD),時間,BPM,MV,人数,配信日
1,10001,既,Tell Your World,0_VS,5,10,16,22,26,25,0961,1147,1353,2:03,150,3D,1,2020/09/30
2,10002,既,ネクストネスト,0_VS,6,13,18,27,30,-,0983,1131,-,2:07,128,-,-,2020/09/30
3,10003,既,メルト,0_VS,7,12,17,25,29,-,1363,1586,-,3:02,170,-,-,2020/09/30
4,10004,既,初音ミクの消失,0_VS,9,15,22,30,35,-,1502,1666,-,2:24,240,-,-,2020/09/30
5,10005,既,Blessing,0_VS,5,11,16,23,27,-,0859,0986,-,2:13,110,原曲,-,2020/09/30
6,10006,公,alive,0_VS,6,11,16,23,27,-,0804,1016,-,1:58,128,-,-,2020/09/30
7,11001,既,ロキ,1_L/n,7,11,17,24,29,-,0827,0975,-,1:47,150,3D,5,2020/09/30
8,11002,既,テオ,1_L/n,9,14,19,27,32,-,0997,1221,-,1:56,185,3D,5,2020/09/30
9,11003,既,ヒバナ -Reloaded-,1_L/n,9,14,19,28,32,34,0808,1060,1351,1:35,200,2D,-,2020/09/30
10,12001,既,ハッピーシンセサイザ,2_MMJ,6,11,18,24,28,-,0859,1136,-,2:13,127,2D/3D,4,2020/09/30
11,12002,既,Nostalogic,2_MMJ,6,12,17,23,29,-,0719,0985,-,2:00,140,2D,-,2020/09/30
12,12003,既,ツギハギスタッカート,2_MMJ,6,11,16,24,28,-,0854,0861,-,2:03,139,2D/3D,3,2020/09/30
13,13001,既,劣等上等,3_VBS,7,12,18,25,30,-,0825,0952,-,1:39,160,3D,4,2020/09/30
14,13002,既,ドクター＝ファンクビート,3_VBS,8,13,19,27,32,-,0984,1198,-,2:07,150*,2D,-,2020/09/30
15,13003,既,フラジール,3_VBS,6,11,17,24,28,-,0863,1040,-,2:04,127,2D/3D,2,2020/09/30
16,14001,既,ブリキノダンス,4_WxS,8,13,18,25,30,-,0852,0967,-,1:40,172,3D,3,2020/09/30
17,14002,既,スイートマジック,4_WxS,5,12,18,24,27,25,0920,1224,1126,2:29,123,2D/3D,5,2020/09/30
18,14003,既,ぼうけんのしょがきえました！,4_WxS,8,13,19,26,31,-,0951,1092,-,1:51,176,原曲/2D,-,2020/09/30
19,15001,既,シャルル,5_25,6,11,17,23,28,28,0701,0824,1000,1:44,145,3D,2,2020/09/30
20,15002,既,ハロ／ハワユ,5_25,5,10,15,22,27,-,0690,0851,-,2:27,095,-,-,2020/09/30
21,15003,既,自傷無色,5_25,5,10,17,22,26,-,0614,0829,-,1:44,120,2D/3D,3,2020/09/30
22,21001,書,needLe,1_L/n,7,12,17,25,29,-,0889,1029,-,1:55,190,3D,5,2020/09/30
23,22001,書,アイドル新鋭隊,2_MMJ,8,12,17,24,29,-,0754,0940,-,1:46,176,3D,5,2020/09/30
24,23001,書,Ready Steady,3_VBS,5,10,16,25,29,-,0564,0667,-,1:32,115,3D,5,2020/09/30
25,24001,書,セカイはまだ始まってすらいない,4_WxS,6,13,16,24,29,-,0774,1027,-,2:02,138,3D,5,2020/09/30
26,25001,書,悔やむと書いてミライ,5_25,8,13,17,26,30,-,0815,0973,-,1:41,194,3D,5,2020/09/30
27,29001,書,セカイ,9_oth,6,12,18,23,27,-,0735,0858,-,1:52,133,3D,4,2020/09/30
28,29002,書,ワーワーワールド,9_oth,7,12,17,24,29,-,0789,0960,-,1:49,160,3D,3,2020/09/30
29,11004,既,アスノヨゾラ哨戒班,1_L/n,8,12,17,25,29,-,1073,1208,-,2:08,185,原曲,-,2020/10/01
30,12004,既,ニア,2_MMJ,6,11,16,22,27,-,0702,0841,-,1:56,128,3D,3,2020/10/02
31,13004,既,Just Be Friends,3_VBS,6,11,17,23,28,-,0811,0989,-,2:13,128,2D,-,2020/10/03
32,14004,既,脱法ロック,4_WxS,7,13,18,26,31,-,0972,1145,-,2:02,155,原曲/2D,-,2020/10/04
33,15004,既,命に嫌われている,5_25,9,14,18,26,30,-,0756,0979,-,1:40,200,2D,-,2020/10/05
34,10007,既,ワールドイズマイン,0_VS,7,13,17,24,29,-,1248,1417,-,2:51,165*,-,-,2020/10/06
35,14005,既,ダンスロボットダンス,4_WxS,8,13,18,26,30,-,0927,1057,-,1:42,190,2D/3D,3,2020/10/07
36,10008,既,Hand in Hand,0_VS,6,13,16,23,28,28,0809,1072,1020,2:04,128,原曲,-,2020/10/08
37,13005,既,夜咄ディセイブ,3_VBS,8,14,19,26,30,-,1165,1311,-,2:20,130,原曲,-,2020/10/09
38,10009,既,Gimme×Gimme,0_VS,6,11,18,26,29,-,0842,0907,-,2:15,105,-,-,2020/10/10
39,12005,既,ビバハピ,2_MMJ,6,12,17,24,29,-,0597,0722,-,1:34,148,2D,-,2020/10/11
40,10010,既,ジャンキーナイトタウンオーケストラ,0_VS,6,13,18,26,31,-,1070,1374,-,2:22,145,-,-,2020/10/12
41,14006,既,ミラクルペイント,4_WxS,9,12,18,25,30,-,1300,1437,-,2:26,215,原曲/2D,-,2020/10/13
